film_title,category_name,film_rental_duration,standard_quartile
Alone Trip,Music,3,1
Anaconda Confessions,Animation,3,1
Arizona Bang,Classics,3,1
Backlash Undefeated,Children,3,1
Baked Cleopatra,Family,3,1
Beast Hunchback,Classics,3,1
Bilko Anonymous,Family,3,1
Blood Argonauts,Family,3,1
Casper Dragonfly,Children,3,1
Confused Candles,Family,3,1
Core Suit,Classics,3,1
Daughter Madigan,Children,3,1
Doors President,Animation,3,1
Downhill Enough,Comedy,3,1
Earring Instinct,Family,3,1
Fargo Gandhi,Children,3,1
Ferris Mother,Comedy,3,1
Fight Jawbreaker,Animation,3,1
Flintstones Happiness,Comedy,3,2
Fury Murder,Children,3,2
Gables Metropolis,Family,3,2
Go Purple,Music,3,2
Harper Dying,Animation,3,2
Heartbreakers Bright,Children,3,2
Hustler Party,Comedy,3,2
Insects Stone,Animation,3,2
Intentions Empire,Animation,3,2
Jeepers Wedding,Classics,3,2
Jeopardy Encino,Classics,3,2
Jerk Paycheck,Classics,3,2
King Evolution,Family,3,2
Lonely Elephant,Comedy,3,2
Lovely Jingle,Classics,3,2
Lover Truman,Classics,3,2
Magic Mallrats,Children,3,2
Magnificent Chitty,Classics,3,2
Miracle Virtual,Animation,3,3
Mission Zoolander,Animation,3,3
Packer Madigan,Animation,3,3
Pajama Jawbreaker,Classics,3,3
Personal Ladybugs,Music,3,3
Potluck Mixed,Animation,3,3
Pure Runner,Comedy,3,3
Range Moonwalker,Family,3,3
Rush Goodfellas,Family,3,3
Scarface Bang,Children,3,3
Searchers Wait,Comedy,3,3
Secrets Paradise,Family,3,3
Snowman Rollercoaster,Animation,3,3
Song Hedwig,Music,3,3
Sons Interview,Animation,3,3
Stranger Strangers,Children,3,3
Strictly Scarface,Comedy,3,3
Sugar Wonka,Animation,3,3
Sunrise League,Animation,3,4
Sweethearts Suspects,Children,3,4
Telegraph Voyage,Music,3,4
Ties Hunger,Children,3,4
Timberland Sky,Classics,3,4
Titanic Boondock,Animation,3,4
Tomorrow Hustler,Classics,3,4
Tootsie Pilot,Children,3,4
Tracy Cider,Animation,3,4
Turn Star,Animation,3,4
Valley Packer,Comedy,3,4
Vanishing Rocky,Music,3,4
Velvet Terminator,Comedy,3,4
Virtual Spoilers,Family,3,4
Wait Cider,Animation,3,4
Wisdom Worker,Comedy,3,4
Words Hunter,Music,3,4
Zorro Ark,Comedy,3,4
Amelie Hellfighters,Music,4,1
Bear Graceland,Children,4,1
Birch Antitrust,Music,4,1
Birdcage Casper,Music,4,1
Cabin Flash,Children,4,1
Candidate Perdition,Classics,4,1
Carol Texas,Animation,4,1
Champion Flatliners,Animation,4,1
Club Graffiti,Animation,4,1
Conspiracy Spirit,Classics,4,1
Conversation Downhill,Family,4,1
Date Speed,Family,4,1
Detective Vision,Classics,4,1
Doctor Grail,Children,4,1
Donnie Alley,Animation,4,1
Doom Dancing,Comedy,4,1
Double Wrath,Animation,4,1
Duck Racer,Animation,4,2
Dynamite Tarzan,Classics,4,2
Elf Murder,Music,4,2
Finding Anaconda,Family,4,2
Fireball Philadelphia,Comedy,4,2
Galaxy Sweethearts,Classics,4,2
Gangs Pride,Animation,4,2
Gold River,Comedy,4,2
Gorgeous Bingo,Children,4,2
Hate Handicap,Comedy,4,2
Hocus Frida,Family,4,2
Hope Tootsie,Classics,4,2
Horn Working,Animation,4,2
Indian Love,Family,4,2
Ishtar Rocketeer,Animation,4,2
Jaws Harry,Comedy,4,2
Juggler Hardly,Animation,4,2
Jumping Wrath,Children,4,3
Knock Warlock,Comedy,4,3
Life Twisted,Comedy,4,3
Loathing Legally,Classics,4,3
Lolita World,Family,4,3
Maker Gables,Children,4,3
Mallrats United,Comedy,4,3
Massage Image,Animation,4,3
Memento Zoolander,Comedy,4,3
Million Ace,Classics,4,3
Minority Kiss,Music,4,3
Model Fish,Children,4,3
Mulan Moon,Comedy,4,3
Natural Stock,Family,4,3
Outfield Massacre,Music,4,3
Oz Liaisons,Animation,4,3
Pinocchio Simon,Comedy,4,3
Pittsburgh Hunchback,Family,4,4
Prix Undefeated,Family,4,4
Rage Games,Family,4,4
Robbery Bright,Family,4,4
Roots Remember,Classics,4,4
Snatchers Montezuma,Classics,4,4
Spartacus Cheaper,Family,4,4
Stage World,Comedy,4,4
Steel Santa,Classics,4,4
Strangelove Desire,Children,4,4
Taxi Kick,Music,4,4
Tramp Others,Comedy,4,4
Twisted Pirates,Children,4,4
Vertigo Northwest,Comedy,4,4
Wizard Coldblooded,Music,4,4
Youth Kick,Music,4,4
Anthem Luke,Comedy,5,1
Apache Divine,Family,5,1
Balloon Homeward,Music,5,1
Banger Pinocchio,Music,5,1
Bang Kwai,Family,5,1
Betrayed Rear,Children,5,1
Blues Instinct,Family,5,1
Bound Cheaper,Classics,5,1
Cat Coneheads,Comedy,5,1
Center Dinosaur,Classics,5,1
Chisum Behavior,Family,5,1
Chocolat Harry,Family,5,1
Circus Youth,Children,5,1
Closer Bang,Comedy,5,1
Comancheros Enemy,Children,5,1
Creepers Kane,Classics,5,1
Crossroads Casualties,Animation,5,1
Daddy Pittsburgh,Comedy,5,1
Dogma Family,Animation,5,2
Dorado Notting,Music,5,2
Dumbo Lust,Family,5,2
Dying Maker,Comedy,5,2
Enemy Odds,Music,5,2
Falcon Volume,Animation,5,2
Freedom Cleopatra,Comedy,5,2
Frost Head,Classics,5,2
Giant Troopers,Children,5,2
Gilmore Boiled,Classics,5,2
Greatest North,Music,5,2
Grosse Wonderful,Music,5,2
Gunfight Moon,Comedy,5,2
Hall Cassidy,Children,5,2
Hanover Galaxy,Music,5,2
Heavenly Gun,Music,5,2
Hyde Doctor,Classics,5,2
Idols Snatchers,Children,5,3
Insider Arizona,Music,5,3
Invasion Cyclone,Children,5,3
Jason Trap,Family,5,3
Jawbreaker Brooklyn,Music,5,3
Language Cowboy,Children,5,3
League Hellfighters,Classics,5,3
Louisiana Harry,Family,5,3
Luke Mummy,Animation,5,3
Manchurian Curtain,Family,5,3
Mystic Truman,Comedy,5,3
Network Peak,Family,5,3
Noon Papi,Children,5,3
Oleander Clue,Music,5,3
Paradise Sabrina,Comedy,5,3
Potter Connecticut,Animation,5,3
Remember Diary,Family,5,3
Sabrina Midnight,Children,5,4
Sister Freddy,Children,5,4
Sleepless Monsoon,Animation,5,4
Sling Luke,Classics,5,4
Slums Duck,Family,5,4
Splash Gump,Family,5,4
Splendor Patton,Children,5,4
Submarine Bed,Comedy,5,4
Summer Scarface,Classics,5,4
Sundance Invasion,Children,5,4
Super Wyoming,Family,5,4
Terminator Club,Music,5,4
Theory Mermaid,Animation,5,4
Thief Pelican,Animation,5,4
Uptown Young,Children,5,4
Watch Tracy,Animation,5,4
Zoolander Fiction,Children,5,4
African Egg,Family,6,1
Airplane Sierra,Comedy,6,1
Alaska Phantom,Music,6,1
Alice Fantasia,Classics,6,1
Alter Victory,Animation,6,1
Atlantis Cause,Family,6,1
Bedazzled Married,Family,6,1
Beneath Rush,Children,6,1
Boogie Amelie,Music,6,1
Caper Motions,Comedy,6,1
Clash Freddy,Animation,6,1
Clones Pinocchio,Music,6,1
Clue Grail,Music,6,1
Color Philadelphia,Classics,6,1
Confidential Interview,Music,6,1
Connection Microcosmos,Comedy,6,1
Crooked Frogmen,Children,6,1
Driving Polish,Music,6,1
Early Home,Animation,6,1
Effect Gladiator,Family,6,2
Element Freddy,Comedy,6,2
Extraordinary Conquerer,Classics,6,2
Feud Frogmen,Family,6,2
Floats Garden,Animation,6,2
Flying Hook,Animation,6,2
Full Flatliners,Children,6,2
Ghost Groundhog,Children,6,2
Gladiator Westward,Family,6,2
Groundhog Uncut,Comedy,6,2
Half Outfield,Family,6,2
Holocaust Highball,Children,6,2
Holy Tadpole,Classics,6,2
Homicide Peach,Family,6,2
Hunting Musketeers,Family,6,2
Hurricane Affair,Comedy,6,2
Impact Aladdin,Music,6,2
Inch Jet,Animation,6,2
Jersey Sassy,Children,6,2
Jingle Sagebrush,Classics,6,3
Labyrinth League,Children,6,3
Lawless Vision,Animation,6,3
Lion Uncut,Comedy,6,3
Maguire Apache,Family,6,3
Malkovich Pet,Classics,6,3
Masked Bubble,Music,6,3
Microcosmos Paradise,Children,6,3
Monster Spartacus,Music,6,3
Movie Shakespeare,Family,6,3
Murder Antitrust,Children,6,3
Nash Chocolat,Animation,6,3
October Submarine,Classics,6,3
Odds Boogie,Family,6,3
Pilot Hoosiers,Family,6,3
Polish Brooklyn,Children,6,3
Prejudice Oleander,Classics,6,3
President Bang,Family,6,3
Pride Alamo,Animation,6,3
Punk Divorce,Animation,6,4
Requiem Tycoon,Classics,6,4
Resurrection Silverado,Family,6,4
Runner Madigan,Music,6,4
Rushmore Mermaid,Comedy,6,4
Scalawag Duck,Music,6,4
Snatch Slipper,Comedy,6,4
Soup Wisdom,Family,6,4
Storm Happiness,Animation,6,4
Sunset Racer,Family,6,4
Sweden Shining,Comedy,6,4
Tadpole Park,Classics,6,4
Telemark Heartbreakers,Animation,6,4
Tequila Past,Children,6,4
Voyage Legally,Classics,6,4
Warlock Werewolf,Children,6,4
Willow Tracy,Family,6,4
Wonka Sea,Animation,6,4
Wrong Behavior,Children,6,4
Argonauts Town,Animation,7,1
Bikini Borrowers,Animation,7,1
Blackout Private,Animation,7,1
Blanket Beverly,Family,7,1
Borrowers Bedazzled,Animation,7,1
Braveheart Human,Family,7,1
Bringing Hysterical,Comedy,7,1
Canyon Stock,Animation,7,1
Chamber Italian,Music,7,1
Chasing Fight,Family,7,1
Christmas Moonshine,Children,7,1
Clockwork Paradise,Children,7,1
Control Anthem,Comedy,7,1
Crazy Home,Comedy,7,1
Cruelty Unforgiven,Classics,7,1
Dares Pluto,Animation,7,1
Deer Virginian,Music,7,1
Desire Alien,Animation,7,1
Dinosaur Secretary,Family,7,1
Dracula Crystal,Classics,7,1
Empire Malkovich,Children,7,2
Forever Candidate,Children,7,2
Forrester Comancheros,Animation,7,2
Frankenstein Stranger,Comedy,7,2
Freaky Pocus,Music,7,2
Gandhi Kwai,Family,7,2
Ghostbusters Elf,Animation,7,2
Gilbert Pelican,Classics,7,2
Graduate Lord,Children,7,2
Grease Youth,Family,7,2
Heaven Freedom,Comedy,7,2
Hedwig Alter,Comedy,7,2
Hollywood Anonymous,Children,7,2
Home Pity,Music,7,2
Hook Chariots,Animation,7,2
House Dynamite,Family,7,2
Iron Moon,Classics,7,2
Island Exorcist,Classics,7,2
Jedi Beneath,Family,7,2
Killer Innocent,Family,7,3
Legally Secretary,Children,7,3
Legend Jedi,Music,7,3
Lights Deer,Classics,7,3
Lucky Flying,Music,7,3
Menagerie Rushmore,Animation,7,3
Music Boondock,Family,7,3
Musketeers Wait,Classics,7,3
Operation Operation,Comedy,7,3
Opposite Necklace,Family,7,3
Oscar Gold,Animation,7,3
Party Knock,Comedy,7,3
Patient Sister,Classics,7,3
Perfect Groove,Comedy,7,3
Pond Seattle,Animation,7,3
Rebel Airport,Music,7,3
Reds Pocus,Music,7,3
Right Cranes,Classics,7,3
Robbers Joon,Children,7,3
Roman Punk,Music,7,4
Room Roman,Animation,7,4
Saddle Antitrust,Comedy,7,4
Santa Paris,Children,7,4
Saturn Name,Comedy,7,4
Sensibility Rear,Family,7,4
Shepherd Midsummer,Children,7,4
Siege Madre,Family,7,4
Silence Kane,Music,7,4
Spiking Element,Classics,7,4
Spinal Rocky,Family,7,4
Towers Hurricane,Classics,7,4
Trainspotting Strangers,Comedy,7,4
Uncut Suicides,Music,7,4
Volume House,Classics,7,4
Walls Artist,Children,7,4
Wasteland Divine,Classics,7,4
Westward Seabiscuit,Classics,7,4
Won Dares,Music,7,4
